title,artist,lyricist,composer,arranger,hash
ひらがなで恋したい,日向坂46,秋元康,ふるっぺ (ケラケラ),ふるっぺ,025b0c9393ee23a21176cf1a9a54ce64c11da24dd1c6e9bfb68f311784121f85
Footsteps,日向坂46,秋元康,野井洋児,野井洋児,41d947dc096c0b3f0ce733cb5cb54defe7513e07eb4e8dc1f9517447d9536068
ブルーベリー＆ラズベリー,日向坂46,秋元康,小野貴光,若田部誠,3b4e50eb4045242c1cb0b9716645f67b2fbd9771fd0d24f1877f0ee39ff551f0
HEY！OHISAMA！,日向坂46,秋元康,デレク・ターナー,武藤星児,2ac4b134fed9bf089f0e4bd0bcd8420b612553097d3ec4dc797370db33632712
骨組みだらけの夏休み,日向坂46,秋元康,you-me,APAZZI,fd0ed4949ba0cef3cc9c9a04bd8dc09737b6e8357a93593895cb3b5f3e339cdc
ホントの時間,日向坂46,秋元康,野村陽一郎,野村陽一郎,05238040c872ee30d356f1ba5a588f3ed8f489a949a54389b2a3ecf4ff1e101e
膨大な夢に押し潰されて,日向坂46,秋元康,杉山勝彦・Soma Genda,杉山勝彦・Soma Genda,8ce2bb1bd0615644bfa5997239a7507e91fa3bc3d1d3cb728b22312327026451
僕たちは付き合っている,日向坂46,秋元康,Yo-Hey,Yo-Hey,ab641b3bb8d20eefb7608ee666385c665dbfbcefdb8a1d6a0f7268b70f73628a
僕なんか,日向坂46,秋元康,温詞,温詞・TomoLow,a9ac34eb26003698226b4f66d8d319511e625eb3ee94764828fcf6a0f9ee9f0d
My god,日向坂46,秋元康,doubleglass,doubleglass,3db01b6108f27f47a9e67f4285cb848e45120609841e948e14e8af4bbf1dabe1
My fans,日向坂46,秋元康,ムラマサヒロキ,ムラマサヒロキ,5f330e1a19e6abf5cd0aef89b62cdde89eaf78d270353d1ae04411c4e20709f7
まさか 偶然…,はなちゃんず(日向坂46),秋元康,ふるっぺ(ケラケラ),ふるっぺ,841cfc79a23f8d4a4c9c8c34e0f14064a6df78f6583d7b1c67254662b5144fc8
窓を開けなくても,日向坂46,秋元康,CHOCOLATE MIX,CHOCOLATE MIX,b18570c3e93eb44880b3a4def99015f771c4fdfcc2ea7780dabeaeb392a76c0f
ママのドレス,りまちゃんちっく(日向坂46),秋元康,野村陽一郎,野村陽一郎,90e0472dc70652dc8c1edbbf876434833abb4cfe3c74462a7638e673adf4d0dc
真夜中の懺悔大会,日向坂46,秋元康,SoichiroK・TomoLow,TomoLow,5476550dcb5f10be3fb8d3ce49b9fcd2199b716216863fe41c733691a1d4a2ec
未熟な怒り,日向坂46 2期生,秋元康,バグベア,"野中""まさ""雄一",683b57f363e964b531d635fc72699b09634c2001eb783c22349327c2dc53255c
見たことない魔物,日向坂46,秋元康,野村陽一郎,若田部誠,7a163bfd128164dd3427300b9473d731e3cde509d1b9da367b01fd037a9a89c5
耳に落ちる涙,日向坂46,秋元康,西井昌明,若田部誠,729e9c972ba7b84f19e3d3139459e3f25f840386aaa89df42da6e0047df668d6
もうこんなに好きになれない,日向坂46,秋元康,なかざわけんじ,田中昇吾,8ce695d14e9b2ab0d37140d68961b7dc5e6ec8e0a75ee03266d82cdf7803003b
約束の卵,日向坂46,秋元康,aokado,aokado,b1ed7dca1272644401b152add326fcb4a77f47b96709992be19f0025b83e0db7
やさしさが邪魔をする,日向坂46,秋元康,aokado,aokado,89148fdbd1b5e1ea0f2bfde18f7911bcdfe024980e14720700d1b878e9dd2b67
You're in my way,日向坂46,秋元康,セキヤカナデ,セキヤカナデ,bf253b40ba67ba196d0b1b230a4181b0f620bb46ed6780af97732bc0fedd99e9
夢は何歳まで？,日向坂46,秋元康,久下真音・金子麻友美,久下真音,c9a95ed1ba90a4758e76130e86c7fabc998f9a8bdaf22fa6953fce307ba09425
Right？,日向坂46,秋元康,小網準,小網準,434b7cceec355773a97f346ed9412547c3b0d84d1b3fe5adcf8f013a0f4b4475
わずかな光,佐々木美玲(日向坂46),秋元康,奥田もとい,奥田もとい,c2d3675bb903ec202a577506362df86eacab30b41854b590dac464642bcb8e78
割れないシャボン玉,日向坂46,秋元康,渡辺翔・sasakure.UK・ふるっぺ (ケラケラ),sasakure.UK,483c4b27c096277e21f855be245a04ea12de4b2e90dd3e13788d12f10832a64c
One choice,日向坂46,秋元康,セキヤカナデ,シライシ紗トリ,9b1e4b9ec7c5df59a267aa2cb2d37770269d1a86307b8ea800e106ce8c5028dd
